#{"t_start": 1716200529.180558, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-21.284916,1,1.625092
-16.744607,4,1.982695
-251.691722,181,15.282418
-15.953145,5,15.76766
-214.79129,85,33.776775
-17.603571,3,34.085205
-21.417985,1,34.226261
-15.647354,8,34.900234
14.798124,110,43.158799
-27.586492,3,43.446865
-85.659272,26,45.539816
18.43625,48,49.237496
-32.733355,9,50.032161
-26.431835,5,50.517404
-14.341584,7,51.150157
-21.418044,1,51.336903
-25.113739,4,51.750129
-53.076626,57,56.369125
-32.733012,9,57.177201
-22.528509,1,57.365934
-43.701606,17,58.779446
-13.53516,8,59.509048
-12.826641,9,60.323084
-26.440458,44,63.817131
-32.732046,10,64.704673
-44.691035,24,66.727594
-25.668176,4,67.146284
-16.812347,4,67.55355
144.283219,119,76.77366
-245.801552,92,83.758773
-19.192985,1,83.94552
-58.345627,30,86.319087
-72.928914,38,89.382524
-32.731152,9,90.180667
-16.751333,4,90.596873
-10.232478,12,91.642851
-57.777736,27,93.895233
-15.205082,6,94.471862
-30.278365,8,95.203948
-15.214627,6,95.770643
-15.200014,6,96.324427
-22.835149,2,96.581701
-34.285311,16,97.906308
-26.557375,38,100.940939
-25.139476,4,101.344232
-41.350592,15,102.591856
-40.225939,8,103.321956
-24.253002,3,103.658696
-22.834318,2,103.923916
-31.33127,8,104.652525
-37.699887,7,105.327991
-25.14046,4,105.741714
-78.059886,44,109.26109
-13.549814,8,109.975792
-31.315368,8,110.698938
-22.570608,2,110.960185
-15.947592,5,111.476221
-97.656869,71,116.911735
-40.223307,8,117.612034
-110.515649,115,126.366272
-27.078685,5,126.859462
-75.547644,22,128.641997
-89.358873,180,142.381272
-6.168856,17,143.766474
703.136637,354,170.870539
-156.55731,104,180.587812
-9.539209,13,181.687929
-139.771081,355,207.886074
-14.344106,7,208.4632
16.165692,24,210.271065
-34.887642,23,212.045653
-403.46722,229,229.050012
-12.82656,9,229.771668
-16.018286,5,230.214198
-27.6883,6,230.745631
-23.855282,3,231.037177
-29.946173,26,233.017878
-151.122272,63,237.682566
-31.503277,9,238.392799
-21.285204,1,238.529879
-213.704816,86,244.877272
-25.671277,4,245.248782
-11.134646,11,246.145761
-20.846162,61,250.719556
-7.678661,15,251.881758
4.895994,30,254.168406
-119.957283,98,261.332815
-15.222529,6,261.844382
-21.41778,1,261.986429
-35.39743,12,262.910228
1011.747599,294,284.330445
-35.171189,6,284.855918
39.623076,202,299.763355
-27.584618,3,300.043968
-27.228577,20,301.58711
-67.907045,35,304.252717
-191.226542,186,317.930903
-18.401377,2,318.144966
-52.873049,13,319.170582
-6.980633,16,320.408772
471.02384,228,338.131309
-248.228343,240,355.793254
-43.237771,455,389.077336
-7.292086,16,390.290691
-30.279007,8,390.916987
-28.872281,7,391.49461
-72.865302,21,393.071028
-19.201407,1,393.211088
-86.864656,224,409.641798
-23.837298,3,409.930858
592.22082,242,427.677236
-103.084085,33,430.090537
-30.122086,4,430.460056
-339.839441,500,466.947635
-178.713156,63,471.707686
-31.642185,9,472.429339
3.68752,80,478.365493
-140.3448,225,495.899795
-402.498795,500,532.59647
-35.80267,14,533.712479
-25.056768,2,533.921575
-447.518634,500,570.636131
303.033677,170,583.177944
-26.035516,16,584.384346
-469.586675,274,604.769154
-18.026525,500,642.983145
-19.201641,1,643.121218
-247.987203,102,650.637267
-89.172575,500,687.456122
-413.185731,500,723.920854
-14.282187,7,724.52331
-15.150723,6,725.021963
1030.586415,500,761.712678
-78.224324,54,765.79577
-520.118474,500,803.703815
1709.665012,500,840.305626
538.509965,391,868.97419
-686.253913,500,905.948005
-8.546354,17,907.34761
-285.806995,302,930.229517
-658.899065,500,968.785712
27.830522,89,975.599472
-16.752832,4,975.981409
97.223055,500,1013.445433
-725.415472,500,1051.110111
-26.90878,7,1051.74783
1.306935,26,1053.764295
1542.265417,500,1091.849152
-272.737454,369,1120.629962
1882.957911,500,1158.948251
-26.421976,5,1159.376378
-223.215384,300,1182.046704
30.114654,500,1219.599135
-702.788563,500,1258.292905
-729.006411,500,1296.368326
2431.027614,500,1333.924233
3180.181433,500,1371.415574
-60.59416,500,1410.103387
276.454158,500,1448.036758
-153.695467,160,1460.351595
152.746324,500,1498.198549
-115.727512,190,1512.400718
312.816707,362,1539.536073
-42.711672,9,1540.285545
-149.504064,182,1554.059088
-173.145281,210,1570.676047
-734.185466,500,1608.535418
-737.224203,500,1646.268635
467.139445,500,1683.78183
-23.820442,3,1684.065923
-718.952659,500,1722.820286
-234.374947,302,1745.715605
1826.091128,500,1783.556099
-146.987805,163,1795.622107
52.486727,500,1833.121891
-738.389231,500,1871.258898
-231.543582,281,1893.428088
-256.072823,191,1907.836373
-21.285071,1,1907.974943
-367.886272,295,1930.403393
2181.980924,500,1968.063104
-304.095333,226,1984.992964
-25.641831,4,1985.357019
-714.679395,500,2023.327147
-702.633397,500,2061.926053
-226.216224,284,2083.510171
2863.432877,500,2120.906649
2786.959847,500,2158.626953
-304.146707,378,2188.082736
2946.75409,500,2226.05286
1139.491433,500,2263.508937
2794.384276,500,2300.977431
325.810296,500,2339.471045
2335.565741,500,2376.858583
-679.578737,500,2414.347937
80.6999,500,2451.906328
-294.680604,500,2489.867019
2356.992312,500,2528.821538
933.447216,500,2566.506085
303.766595,500,2603.9264
-698.767672,500,2641.915401
3087.619274,500,2680.341964
1401.048006,500,2718.278814
-688.473402,500,2755.879919
-238.317152,302,2778.419125
-696.288745,500,2816.963398
-280.193162,393,2846.729098
-702.750617,500,2884.239312
-256.728721,496,2921.548377
-622.195458,500,2960.546603
2087.873007,500,2998.112447
-725.200512,500,3035.704608
1669.579455,500,3073.282369
-218.557492,500,3111.224189
2474.749747,500,3150.063479
3530.386844,500,3187.7217
281.086904,500,3225.250788
718.658011,500,3263.113138
-32.069197,11,3264.016078
542.756786,500,3302.695444
-723.506532,500,3340.519551
-30.251155,8,3341.17664
-335.67628,500,3379.010188
4540.943825,500,3416.838265
2890.604717,500,3455.472932
344.376969,500,3493.387932
2841.458937,500,3530.765037
4217.872621,500,3568.157541
-319.048373,500,3606.442558
-17.590206,3,3606.740058
2914.3674,500,3644.585025
-319.576739,240,3662.6299
-600.26991,500,3699.649904
865.488015,500,3737.860418
4439.06917,500,3775.501752
-733.621315,500,3812.810817
382.536158,500,3849.956478
-734.809706,500,3887.696152
-12.414145,12,3888.687995
-226.184161,291,3911.340441
-728.211915,500,3948.930122
6036.431452,400,3978.831908
1025.86261,500,4016.013826
2749.475333,156,4027.900537
302.112759,500,4065.63922
5140.303895,500,4103.217972
2748.164002,500,4140.40138
-271.626197,400,4170.035959
4521.233833,344,4195.955972
2825.673734,500,4234.261352
394.757836,500,4271.887286
-304.942872,500,4309.205291
983.036332,500,4346.673289
-729.650188,500,4384.995555
367.885764,500,4422.210747
-726.95989,500,4459.520805
1088.441614,500,4496.812983
988.476424,500,4534.858604
2564.734438,500,4572.457224
-23.852373,3,4572.728407
3329.300455,186,4586.52132
-729.214642,500,4624.097594
2520.685268,500,4662.153641
-724.726427,500,4699.751268
2474.138746,500,4737.2292
2878.499135,500,4774.564091
936.163247,500,4812.080268
