#{"t_start": 1716302076.3232977, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284945,1,1.6995
-16.753013,4,2.0575
-180.166163,131,11.7395
-16.754453,4,12.154999
-22.528509,1,12.3515
-12.811742,9,13.178499
-25.665317,4,13.595999
5.557324,32,16.132999
-15.949443,5,16.610499
-240.052327,88,23.713998
-22.528517,1,23.896498
-13.60772,8,24.594998
-167.090527,110,33.438998
-23.856664,3,34.437998
-13.477466,8,35.152498
-45.260672,18,36.673497
-45.408868,47,40.488997
-11.937594,10,41.355497
-27.092107,5,41.845497
-37.708927,7,42.477997
-21.418122,1,42.671496
-16.754826,4,43.088997
38.003988,51,47.083497
-18.384711,2,47.358997
-25.126624,4,47.776496
-31.612982,9,48.591496
-21.418199,1,48.780997
-6.117982,17,50.185497
-13.599378,8,50.914496
-83.384888,25,52.943496
-10.450603,17,54.383996
-32.768702,10,55.264496
-35.530449,11,56.262496
-60.742888,29,58.658996
-17.575312,3,59.008995
-80.559297,119,68.246495
-137.74099,86,75.024495
9.938089,37,78.008494
-44.144364,38,81.018494
-12.807315,9,81.807494
-16.813669,4,82.215994
-36.954441,12,83.272494
-37.984511,14,84.483993
-13.518196,8,85.209494
-26.421039,5,85.701994
-28.509398,6,86.278494
-40.224049,8,87.014494
-28.506485,6,87.581993
-28.504445,6,88.152994
-22.835198,2,88.427993
-60.473037,16,89.759994
-32.853229,10,90.627994
-37.761355,33,93.213994
0.598891,25,95.173493
-22.834614,2,95.436993
-30.269465,8,96.136493
-14.344587,7,96.781493
-25.140238,4,97.207993
-169.271261,60,101.942992
-18.385998,2,102.209492
-27.088711,5,102.723492
-170.827528,70,108.327492
-12.731354,9,109.131992
6.476797,32,111.679492
8.149948,84,118.156991
-25.67224,4,118.581491
-48.21049,22,120.373991
-511.869057,500,160.023988
-55.334521,25,162.079988
-25.057325,2,162.340988
-27.697472,6,162.936988
-310.925681,450,197.234485
-83.185278,25,199.236485
-50.688433,22,201.026485
-0.344687,24,202.980485
-7.094053,24,204.921485
-35.342176,12,205.979985
-22.528545,1,206.157985
-98.904713,56,210.430984
-18.386125,2,210.694485
-40.206208,8,211.406485
-38.423895,13,212.526484
-701.523613,500,252.077481
-22.570453,2,252.336482
-48.127256,20,253.939981
-46.848972,21,255.621981
-63.031268,17,257.053981
-17.605405,3,257.395981
-28.501641,6,257.968981
-22.528539,1,258.156481
-37.017522,12,259.189981
-12.032061,10,260.085481
3.707725,47,263.869981
15.680647,38,266.94448
-30.272248,8,267.666481
-3.563189,20,269.34248
-10.362035,12,270.34898
-31.221915,8,271.08848
-83.141219,25,273.12148
-19.202208,1,273.31148
-19.193066,1,273.494479
-22.829525,2,273.75698
-43.751975,33,276.404479
-59.633329,31,278.90048
-14.34959,7,279.554979
-45.471441,18,281.066479
-80.415017,24,283.00648
-14.406614,7,283.642479
-13.606068,8,284.358479
-313.67974,300,307.506477
-201.196699,72,313.116477
-25.057133,2,313.372977
-63.325904,45,316.870977
-7.919545,15,318.141976
-8.61757,14,319.312477
-9.582453,13,320.438977
-22.83115,2,320.690476
-39.83142,14,321.830476
-39.814561,14,322.991976
-27.635812,6,323.539476
-24.244382,3,323.872976
-21.41821,1,324.057976
-93.102306,53,328.203976
-274.285257,103,336.117475
-17.603623,3,336.462975
-31.311937,8,337.199975
-98.410678,31,339.550475
-22.570183,2,339.801475
-21.285262,1,339.988475
-18.381718,2,340.255475
-238.789063,171,353.252974
-27.078937,5,353.730976
4.493721,30,356.137474
-39.154251,23,358.014473
-45.282643,10,358.896474
-18.385875,2,359.160973
-679.778177,379,388.965471
-50.351652,12,390.009972
-25.056848,2,390.279471
-27.90385,34,393.012471
-80.919307,47,396.730971
-16.012095,5,397.218971
-37.706549,7,397.85847
-19.193045,1,398.037971
-3.892797,20,399.674471
-21.285191,1,399.866471
-25.086543,4,400.292971
-15.957245,5,400.802971
-32.42638,13,401.89197
668.008383,267,422.248469
-30.191981,8,422.941968
-21.418164,1,423.127468
-112.975345,37,426.083468
-19.66089,21,427.810968
-5.938782,17,429.174469
-14.291221,7,429.805469
-733.679191,500,467.419466
-158.661911,55,471.809465
-17.578053,3,472.146965
-18.23914,46,475.687965
-46.734656,21,477.379465
-28.387261,13,478.484965
-24.907734,22,480.201465
-7.262847,16,481.515465
-12.718437,9,482.283964
-23.854653,3,482.627964
-42.751807,9,483.434964
-19.19311,1,483.621964
-72.960388,21,485.357508
-22.528517,1,485.547965
-53.480813,51,489.547464
-29.915814,7,490.193964
-34.123012,11,491.127964
-18.722913,15,492.368464
-44.294377,19,495.242963
-35.169976,6,495.787963
-311.115161,406,526.736461
-180.447172,368,554.791961
-37.696719,7,555.438459
-320.868982,491,592.703456
-25.057168,2,592.965956
-16.7983,4,593.381456
-22.83366,2,593.643956
-16.010159,5,594.124956
-21.418062,1,594.313456
-21.230963,62,599.098956
-32.72697,9,599.898956
-70.558384,20,601.527456
-30.11337,4,601.942955
-6.971546,16,603.264956
-108.219529,35,606.025956
-30.11522,4,606.449455
-123.578549,41,609.697455
-16.807653,4,610.115455
-27.074785,5,610.638955
-13.608626,8,611.341955
-41.764126,17,612.763955
-18.404523,2,613.022455
-103.111959,33,616.832954
1211.845025,500,654.916952
-13.555247,8,655.650452
-391.491137,161,667.84245
-83.192641,25,669.82745
-22.528533,1,670.01295
-16.012766,5,670.506951
