#{"t_start": 1716272434.991565, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.557084
-16.749421,4,1.90574
-185.947586,136,11.654951
-12.705958,9,12.375614
-30.110163,4,12.729737
-80.124796,127,21.882379
-29.866874,7,22.454538
22.087491,110,30.583323
-17.58141,3,30.864932
-85.530261,26,32.826763
-136.451271,46,36.242183
-7.187916,16,37.484842
-29.902205,7,38.064061
-21.28497,1,38.200145
-16.785538,4,38.548805
-52.317424,23,40.273311
-52.72964,28,42.383332
-18.387595,2,42.598886
-25.661769,4,42.957479
-42.648703,9,43.663738
-21.418424,1,43.801811
-6.44087,17,45.109783
-8.073605,33,47.600067
-18.797194,17,48.897359
-32.752125,10,49.695998
-34.283701,11,50.556224
-53.572214,24,52.411769
-16.800195,4,52.788328
-16.814825,4,53.138974
-406.932615,215,68.75606
-15.12638,27,70.740735
-37.575113,99,77.939414
-27.052808,5,78.361087
-28.514097,6,78.85924
-15.166659,6,79.359879
-18.384605,2,79.570469
-73.25426,38,82.390536
-5.668934,20,83.908347
-8.443467,28,85.989876
-13.576298,8,86.630575
-14.370094,7,87.214158
-25.666395,4,87.576227
-18.966084,60,91.951859
-18.387025,2,92.155986
-26.419018,5,92.572689
-81.199807,69,97.57213
-45.267721,10,98.353386
-163.289473,115,106.728667
-27.07435,5,107.155303
-50.835297,22,108.862348
-336.231033,193,124.027053
-16.763495,4,124.392599
-132.525774,348,149.865613
-195.847611,346,175.125059
-19.192991,1,175.262636
-29.856271,7,175.829332
-214.286667,374,202.870817
-96.589193,155,214.191329
-117.25089,90,220.792025
-11.171864,11,221.642318
-44.207022,107,230.364269
-63.516802,170,242.633416
-118.549514,291,263.672688
-514.493892,221,279.92907
-147.069077,201,294.782368
-317.918372,500,330.885028
-9.48187,13,331.877367
261.02029,269,352.448285
-12.341552,30,354.639576
-484.500833,410,384.480271
475.345249,389,412.546876
-55.808319,51,416.205319
-63.818298,125,425.223783
-32.325074,16,426.453032
-25.648388,4,426.802188
-178.87641,162,438.446029
-21.417818,1,438.587579
-125.381499,154,449.761575
-70.175734,20,451.287832
-39.007,248,469.889963
-230.754167,293,491.125421
-24.234464,3,491.410507
487.373747,472,525.244399
-180.338619,90,531.727382
-12.561814,61,536.237111
-31.131133,8,536.87036
-667.775817,358,562.77597
-25.658911,4,563.126119
-13.566326,8,563.771785
-6.899456,19,565.206157
52.983521,290,586.842921
28.660791,47,590.418918
-423.504228,296,611.986149
-16.754536,4,612.339775
-21.285072,1,612.475862
53.839822,100,619.99489
-19.19333,1,620.136937
-19.201617,1,620.27352
-198.838514,219,636.26915
-19.201967,1,636.40474
-22.569181,2,636.616817
-15.971362,5,637.037493
-317.058754,217,652.791743
-121.287993,189,666.542442
-90.939596,28,668.590697
-434.858884,272,688.937615
-140.877357,236,706.156038
-39.880465,15,707.297873
-240.715875,500,743.770552
-40.731131,26,745.693643
-50.614543,24,747.513428
-35.41908,11,748.38905
-243.896842,301,770.192694
-128.075629,55,774.29466
-220.399549,386,802.961733
-31.295809,8,803.627266
-145.669162,184,816.827163
-127.624756,119,825.451273
331.291105,155,836.699272
-21.285148,1,836.838835
39.924724,54,840.795278
193.452855,86,847.093998
-30.614488,26,849.037452
-37.679446,7,849.601668
628.857379,434,880.866302
-29.643241,42,883.973943
382.423543,260,902.79213
77.623172,308,925.872202
-325.214169,194,939.975535
-15.966197,5,940.421541
252.180419,326,963.965006
-657.805419,500,1000.301102
-119.413597,151,1011.323614
-381.775123,199,1026.379551
-210.818393,438,1058.043509
-24.247293,3,1058.328595
-12.786251,25,1060.201026
-19.193377,1,1060.345059
150.382968,135,1070.138819
-104.525067,46,1073.520619
-28.489391,6,1074.026725
-25.056511,2,1074.23737
146.47345,43,1077.411998
887.882875,394,1105.886365
-83.194645,60,1110.348911
-29.840078,7,1110.909647
-698.561158,500,1148.252985
-59.212857,140,1158.410301
-84.153282,500,1194.81146
-627.863837,420,1225.371331
-40.208919,8,1226.056727
-22.528503,1,1226.198774
204.550424,122,1235.045888
54.259119,268,1255.302914
-101.444346,34,1257.865711
-41.704075,32,1260.278515
-134.624911,128,1269.666002
-64.642136,52,1273.518145
-136.274211,149,1284.500926
-16.80954,4,1284.852066
549.515372,353,1310.833169
-44.549848,27,1312.854104
-78.000187,23,1314.612798
17.754619,21,1316.206104
-101.979966,358,1341.99152
-36.003068,112,1350.121945
-45.00291,18,1351.614923
97.434839,132,1362.077693
1.793639,66,1366.949491
104.184806,500,1403.572659
-501.406265,309,1426.367649
-80.660124,480,1461.410923
284.084974,87,1467.814936
-95.993061,95,1475.570378
-35.742081,78,1481.234855
-69.96533,58,1485.483338
-18.690785,12,1486.418063
-26.397077,5,1486.839733
233.896313,216,1502.562693
-166.97504,96,1509.483736
148.641237,281,1530.271698
