#{"t_start": 1716301705.2836404, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,3.102063
-16.749125,4,3.460063
-195.520088,136,13.31761
-12.721744,9,14.06611
-30.112071,4,14.438188
-77.039449,126,23.598687
-31.30857,8,24.237187
2.783958,110,32.243719
-17.58141,3,32.534719
-84.910855,26,34.537248
-136.483863,46,38.018178
-7.184167,16,39.282953
-29.890698,7,39.880458
-21.28497,1,40.030957
-16.784241,4,40.400958
-52.421903,23,42.172427
-24.809288,28,44.322676
-18.387595,2,44.547676
-25.661867,4,44.916676
-42.696016,9,45.649085
-21.418398,1,45.794585
-20.844095,17,47.119066
-25.760164,32,49.596565
-43.555622,28,51.738565
-32.165161,11,52.616011
-51.197431,24,54.513511
-25.663877,4,54.883847
-16.814596,4,55.246846
166.143855,128,64.870736
-152.071889,62,69.495132
-18.386386,2,69.711132
-23.835721,3,70.013632
-52.999296,24,71.908903
-52.503335,23,73.678125
317.234002,99,81.118629
-15.934216,5,81.562629
-28.514097,6,82.099629
-15.190882,6,82.645148
-22.567804,2,82.868147
-6.896753,16,84.148515
5.563715,32,86.611036
-34.112409,10,87.416156
-50.487918,26,89.416155
-18.385857,2,89.628155
-30.257924,8,90.285071
-29.891998,7,90.876071
-30.112978,4,91.247571
-97.443858,60,95.778858
-22.835789,2,95.99839
-27.082512,5,96.44839
-147.828284,70,101.796983
-29.440885,9,102.548482
-62.235204,32,104.991983
-21.572944,16,106.244386
-50.31468,22,108.005991
-44.108239,19,109.497491
-10.275518,12,110.465991
-44.326529,19,111.951407
-75.579923,22,113.655159
191.484294,223,130.612587
-93.038126,368,157.721725
-24.250268,3,158.013225
3.156442,69,163.126302
-15.914664,5,163.553802
-274.157681,500,199.773802
-262.821472,401,228.820664
1.213175,26,230.773165
-32.769536,10,231.540664
-40.568029,30,233.896664
169.274138,98,240.909163
-15.247709,6,241.449663
-22.528456,1,241.584163
-36.896864,12,242.565167
-121.990939,500,278.787665
-15.965564,5,279.212665
-2.64045,21,280.779165
8.349375,34,283.359664
-418.014316,333,308.197162
268.790871,67,313.293662
-22.988492,41,316.329162
-22.528452,1,316.464665
-22.816744,2,316.671165
-72.638576,38,319.489661
-34.396214,201,334.53016
-18.401953,2,334.75316
-34.935534,23,336.58016
-35.30555,12,337.54216
-730.770105,500,374.393157
22.210324,73,379.695157
-119.161211,41,382.811156
-132.387736,112,390.947155
-179.943418,239,408.824654
-12.012901,10,409.660154
-25.10947,4,410.025654
-97.015798,56,414.185654
-103.095129,135,424.146653
-63.82789,32,426.526653
-27.156154,12,427.460653
-37.695836,7,428.046653
31.957605,69,433.177152
-25.647251,4,433.524153
-92.349449,104,441.128652
-36.542554,13,442.174652
-81.941238,42,445.314152
-25.136984,4,445.668152
-67.46886,85,452.015651
-31.649334,9,452.722151
-56.249743,80,458.638151
-11.30631,11,459.53015
11.976442,34,462.48465
-27.677854,6,462.96915
-105.567085,167,475.095149
-195.411694,396,503.899147
