#{"t_start": 1716187647.039747, "env_id": "manipulator_mujoco/UR5eEnv-v0"}
r,l,t
-21.41753,1,1.696115
-25.648774,4,2.060172
-224.165646,136,12.100774
-32.678914,9,12.86862
-25.658861,4,13.23218
-68.656705,34,15.848121
-24.245022,3,16.139663
-101.154636,86,29.010454
-24.255407,3,29.318884
-31.280873,8,30.007263
-108.121682,110,38.579446
-24.256352,3,38.868506
-56.291464,26,40.935133
-87.697651,47,44.592086
-41.257151,15,45.807428
-29.88359,7,46.456075
-21.417677,1,46.599113
-25.649501,4,46.952741
-51.114115,22,48.613592
-60.003102,29,50.802969
-22.827466,2,51.042361
-25.663748,4,51.468998
-32.736019,9,52.3029
-21.4182,1,52.488157
-43.826534,17,53.890245
-92.039733,51,57.965391
-32.78523,9,58.81022
-35.51844,11,59.764316
-53.669263,24,61.78823
-25.668131,4,62.222813
-25.671851,4,62.646966
-140.297859,119,72.122859
-133.914953,92,79.417892
-21.418094,1,79.601658
-62.561006,30,82.023403
-72.821486,38,85.085846
-32.729446,9,85.899882
-25.66143,4,86.307645
-36.947185,12,87.361571
-65.958972,33,90.091744
-31.321904,8,90.815387
-28.507279,6,91.399467
-28.505129,6,91.993976
-22.835139,2,92.251249
-42.405898,16,93.595724
-66.188058,33,96.305038
-32.762336,9,97.088777
-52.762661,23,98.990015
-24.254552,3,99.351588
-22.834261,2,99.616311
-31.333109,8,100.372237
-29.915737,7,101.03926
-25.669963,4,101.453116
-102.724118,60,106.37905
-22.836139,2,106.637317
-27.093478,5,107.11958
-81.403663,70,112.429935
-32.660088,9,113.168477
-152.693009,107,121.366449
-67.760615,35,124.016659
-154.901313,181,137.895002
-42.525035,16,139.239973
-176.149883,458,175.789636
-228.569568,304,198.424202
-25.677916,4,198.791238
-42.668187,16,200.05277
-39.674805,14,201.145933
-40.947082,15,202.314588
-99.368084,70,207.584713
-390.778501,500,253.195772
-24.24478,3,253.499235
-21.418271,1,253.653204
-31.327698,8,254.306814
-41.01725,15,255.467523
-64.082321,31,289.672373
-73.841968,97,296.850688
-28.488762,6,297.381625
-21.417753,1,297.525658
-408.361537,500,335.869774
-21.417937,1,336.054038
-21.418096,1,336.243764
-40.707622,15,337.507779
-36.920009,12,338.541342
-79.540163,43,342.038368
-390.17366,500,382.121313
-39.805114,14,383.321755
-320.929307,500,422.107408
-288.341189,412,454.157738
-384.453583,500,492.883837
-31.309557,8,493.652677
-29.917553,7,494.273013
-117.142582,69,499.537177
-25.665957,4,499.945934
-176.644858,170,513.33357
-366.012179,429,548.25367
-357.112348,386,578.318362
-297.07623,330,603.191403
-280.450744,377,631.129371
-88.243605,54,635.226866
-45.113436,18,636.627962
-212.642395,227,653.655167
-173.258495,317,677.391339
-35.474984,11,678.279378
-142.565777,175,692.337513
-44.34967,17,693.699372
-34.089038,10,694.511918
-276.4491,388,727.8747
-131.647827,172,740.804409
-198.992686,500,777.991315
-170.156328,211,793.640269
-224.392476,258,812.717216
-31.278716,8,813.408575
-269.97484,396,842.849954
-258.354435,378,871.718178
-434.113822,481,907.513647
-216.780399,252,925.941455
-29.906223,7,926.529008
-266.17849,345,952.208287
-252.086019,260,971.65028
-142.605678,224,988.27618
-107.737413,158,1001.15424
-134.928633,253,1040.146164
-241.007205,310,1063.253056
-158.254287,213,1079.210443
-123.892758,131,1089.02854
-227.35271,294,1111.070584
-278.92699,476,1146.80919
-269.15724,271,1167.047342
-188.27791,390,1205.964916
-113.825949,324,1230.211164
-84.468354,169,1242.863238
-32.636319,9,1243.628601
-268.05961,275,1264.103663
-226.74042,313,1287.123642
